0	0	134	22 
133	0	266	29 
0	0	319	121 
265	0	319	21 
62	8	203	29 
19	23	105	28 
35	25	59	46 
151	65	216	71 
69	66	125	75 
272	69	319	77 
192	103	307	112 
0	105	319	239 
297	110	319	139 
21	114	67	124 
251	119	275	155 
169	121	198	150 
242	121	261	151 
70	122	181	124 
196	122	249	137 
204	127	240	155 
224	127	249	179 
70	128	98	160 
185	130	210	150 
266	130	288	156 
64	131	82	159 
148	131	203	179 
68	132	241	239 
109	132	137	166 
133	133	147	151 
136	133	160	165 
0	135	65	141 
110	135	146	179 
0	136	78	239 
125	137	143	150 
58	138	90	179 
56	141	69	173 
207	143	231	194 
253	143	262	167 
237	147	250	173 
158	159	176	182 
137	164	148	196 
58	169	95	206 
121	174	146	214 
0	105	319	239 
0	105	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
0	0	319	239 
